[TGFbR]_0	[CoSmad]_0	[Smad_P]_0	[Smad_P_N]_0	[I_Smad_mRNA1]_0	[I_Smad_mRNA2]_0	[TGFb_TGFbR]_0	[Smad_P_Smad_P]_0	[Smad_P_CoSmad]_0	[Smad_P_Smad_P_N]_0	[I_Smad]_0	[TGFb]_0	[CoSmad_N]_0	[Smad]_0	[TGFb_TGFbR_P]_0	[Smad_N]_0	[Smad_P_CoSmad_N]_0	[I_Smad_TGFb_TGFbR_P]_0	Values[k13].InitialValue	Values[k12].InitialValue	Values[k11].InitialValue	Values[k10].InitialValue	Values[k17].InitialValue	Values[k16].InitialValue	Values[k15].InitialValue	Values[k14].InitialValue	Values[h].InitialValue	Values[k19].InitialValue	Values[k18].InitialValue	Values[k3].InitialValue	Values[k2].InitialValue	Values[k1].InitialValue	Values[k7].InitialValue	Values[k6].InitialValue	Values[k5].InitialValue	Values[k4].InitialValue	Values[k9].InitialValue	Values[k8].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.000202232
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.000201557
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.00012585
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.000112179
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.000104515
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	0.000101105
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.66476e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.05045e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.56313e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.5077e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.38285e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.13418e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.82508e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.66108e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.63664e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.5665e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.42751e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.27482e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.22432e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.20567e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.13724e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.13219e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.07102e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.05965e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.05764e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.03034e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.02907e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.02209e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.00715e-05

